# Energy_meV Original Background Corrected FinalWeight
-4.043763970325551327e+01 1.837126331805762677e-04 nan nan nan
-3.951860243727243471e+01 2.079287411850168636e-04 nan nan nan
-3.859956517128934905e+01 2.253615816391900850e-04 nan nan nan
-3.768052790530627760e+01 2.426635569934916439e-04 nan nan nan
-3.676149063932319905e+01 2.663628724832380230e-04 nan nan nan
-3.584245337334011339e+01 2.915404328343586498e-04 nan nan nan
-3.492341610735704194e+01 3.285540532268802589e-04 nan nan nan
-3.400437884137395628e+01 3.651827957947557501e-04 nan nan nan
-3.308534157539087772e+01 3.966671441316928161e-04 nan nan nan
-3.216630430940779917e+01 4.157200520387001287e-04 nan nan nan
-3.124726704342471706e+01 4.410477461016939571e-04 nan nan nan
